experiment,dimension,valid,unscored,level0,level1,level2,mean
full,D1,48,0,0,6,42,1.875
full,D2,48,0,0,0,48,2
full,D3,48,0,0,0,48,2
full,D4,48,0,0,0,48,2
full,D5,48,0,0,0,48,2
full,D6,48,0,0,1,47,1.9791666666666667
full,D7,48,0,0,0,48,2
validation,D1,72,0,14,15,43,1.4027777777777777
validation,D2,72,0,6,12,54,1.6666666666666667
validation,D3,72,0,19,5,48,1.4027777777777777
validation,D4,72,0,20,4,48,1.3888888888888888
validation,D5,72,0,22,17,33,1.1527777777777777
validation,D6,72,0,7,5,60,1.7361111111111112
validation,D7,72,0,16,17,39,1.3194444444444444
adversarial,D1,8,0,4,1,3,0.875
adversarial,D2,8,0,3,2,3,1
adversarial,D3,8,0,6,2,0,0.25
adversarial,D4,8,0,6,1,1,0.375
adversarial,D5,8,0,7,1,0,0.125
adversarial,D6,8,0,2,4,2,1
adversarial,D7,8,0,6,2,0,0.25
