group,repeat,complete,good,mild,severe,strict_raw,good_above_severe,strict_final
quality-01,1,True,100,75,47.5,True,True,True
quality-01,2,True,100,65,40,True,True,True
quality-01,3,True,100,65,50,True,True,True
quality-02,1,True,100,70,32.5,True,True,True
quality-02,2,True,100,70,52.5,True,True,True
quality-02,3,True,100,77.5,52.5,True,True,True
quality-03,1,True,100,92.5,15,True,True,True
quality-03,2,True,100,80,17.5,True,True,True
quality-03,3,True,100,92.5,17.5,True,True,True
quality-04,1,True,100,80,35,True,True,True
quality-04,2,True,100,85,37.5,True,True,True
quality-04,3,True,100,92.5,52.5,True,True,True
quality-05,1,True,100,77.5,100,False,False,False
quality-05,2,True,100,87.5,15,True,True,True
quality-05,3,True,100,80,12.5,True,True,True
quality-06,1,True,100,80,20,True,True,True
quality-06,2,True,100,80,20,True,True,True
quality-06,3,True,100,72.5,12.5,True,True,True
quality-07,1,True,100,92.5,15,True,True,True
quality-07,2,True,100,92.5,15,True,True,True
quality-07,3,True,100,92.5,15,True,True,True
quality-08,1,True,100,100,12.5,False,True,False
quality-08,2,True,100,80,7.5,True,True,True
quality-08,3,True,100,80,22.5,True,True,True
