part,track,total,valid,passed,failed,no_score,mean_score
application,planning,12,12,12,0,0,95.0
application,intervention,12,12,12,0,0,98.33333333333333
application,assessment,12,12,12,0,0,100
application,revision,12,12,12,0,0,100
quality,planning,18,18,6,12,0,68.52777777777777
quality,intervention,18,18,13,5,0,78.22222222222223
quality,assessment,18,18,7,11,0,61.833333333333336
quality,revision,18,18,12,6,0,64.16666666666667
adversarial,planning,2,2,0,2,0,32.5
adversarial,intervention,2,2,1,1,0,43.75
adversarial,assessment,2,2,0,2,0,12.5
adversarial,revision,2,2,0,2,0,12.5
new_scenarios,planning,18,18,9,9,0,58.333333333333336
new_scenarios,intervention,18,18,9,9,0,61.75
new_scenarios,assessment,18,18,9,9,0,59.30555555555556
new_scenarios,revision,18,18,9,9,0,62.416666666666664
